1006000008	acetylsalicylic acid
1006000016	D-mannitol
1006000024	cefotaxime
1006000032	benzoic acids
1006000040	chlorobenzenes
1006000048	chemical entity
1006000056	hydroxides
1006000064	isoquinoline alkaloid
1006000072	organonitrogen heterocyclic antibiotic
1006000080	phenylalanine derivative
1006000088	quinoline alkaloid
1006000096	sulfide
1006000104	organic heterobicyclic compound
1006000112	quinidine
1006000120	tertiary amine
1006000128	organic group
1006000136	pnictogen molecular entity
1006000144	sulfur oxoacid derivative
1006000152	homocyclic compound
1006000160	heteromonocyclic compound
1006000168	amino acid
1006000176	carbamazepine
1006000184	quaternary ammonium ion
1006000192	carbohydrazide
1006000200	heterocyclic organic fundamental parent
1006000208	oxazole
1006000216	succinate ester
1006000224	acid anhydride
1006000232	3-hydroxy steroid
1006000240	cyclic ether
1006000248	co-trimoxazole
1006000256	monocyclic heteroarene
1006000264	aminopyrimidine
1006000272	abacavir
1006000280	tetrahydrofuranone
1006000288	piperidinecarboxamide
1006000296	monobactam
1006000304	thioureas
1006000312	pharmaceutical
1006000320	toluene 2,4-diisocyanate
1006000328	heterocyclic compound
1006000336	ketoprofen
1006000344	aromatic ketone
1006000352	monochlorobenzenes
1006000360	sulfonamide antibiotic
1006000368	suprofen
1006000376	stem cell
1006000384	ciliated epithelial cell
1006000392	neuron associated cell
1006000400	fat cell
1006000408	protein secreting cell
1006000416	myoepithelial cell
1006000424	mesodermal cell
1006000432	stratified squamous epithelial cell
1006000440	stuff accumulating cell
1006000448	electrically signaling cell
1006000456	carbohydrate secreting cell
1006000464	follicular epithelial cell
1006000472	parafollicular cell
1006000480	collagen secreting cell
1006000488	eosinophil
1006000496	abnormal cell
1006000504	meso-epithelial cell
1006000512	pigmented ciliary epithelial cell
1006000520	visceral muscle cell
1006000528	splenocyte
1006000536	ceftriaxone allergy
1006000544	ranitidine allergy
1006000552	cephalosporin allergy
1006000560	trimethoprim allergy
1006000568	aztreonam allergy
1006000576	nickel allergic contact dermatitis
1006000584	cobalt allergic asthma
1006000592	chloramine T respiratory allergy
1006000600	co-trimoxazole allergy
1006000608	gallamine allergy
1006000616	Polyomavirus-associated Nephropathy
1006000624	autoimmune glomerulonephritis
1006000632	N,N'-diethylthiourea allergic contact dermatitis
1006000648	human granulocytic anaplasmosis
1006000656	Flinders Island spotted fever
1006000712	hemophagocytic lymphohistiocytosis
1006000720	inflammatory diarrhea
1006000728	intestinal botulism
1006000736	aspiration pneumonia
1006000744	inhalation anthrax
1006000752	autoimmune polyendocrine syndrome type 2
1006000760	monogenic disease
1006000768	erythema multiforme
1006000784	nephropathia epidemica
1006000832	philophthalmiasis
1006000848	tungiasis
1006000872	trichosporonosis
1006000912	enlarged vestibular aqueduct
1006000920	opportunistic bacterial infectious disease
1006001008	Hailey-Hailey disease
1006001016	Frasier syndrome
1006001024	Gitelman syndrome
1006001032	juvenile myelomonocytic leukemia
1006001040	Loeys-Dietz syndrome
1006001048	Netherton syndrome
1006001064	parenchymatous neurosyphilis
1006001088	bulbospinal polio
1006001096	Balkan hemorrhagic fever
1006001104	intermediate spinal muscular atrophy
1006001112	Charcot-Marie-Tooth disease type 1
1006001120	congenital adrenal insufficiency
1006001136	autosomal dominant nonsyndromic deafness
1006001144	cone-rod dystrophy
1006001152	hereditary lymphedema
1006001160	severe congenital neutropenia
1006001168	abdominal tuberculosis
1006001176	Askin's tumor
1006001184	malignant Sertoli cell tumor
1006001192	biliary tract neoplasm
1006001200	alopecia universalis
1006001208	hypochromic microcytic anemia
1006001216	familial atrial fibrillation
1006001224	Bart-Pumphrey syndrome
1006001232	partial fetal alcohol syndrome
1006001240	congenital bile acid synthesis defect
1006001248	Athabaskan brainstem dysgenesis syndrome
1006001256	brachyolmia
1006001264	funisitis
1006001272	variable age at onset electroclinical syndrome
1006001280	methylmalonic aciduria and homocystinuria type cblC
1006001288	PSAT deficiency
1006001296	vitamin B12 deficiency
1006001304	autosomal genetic disease
1006001312	lymphoplasmacytic lymphoma
1006001320	ataxia with oculomotor apraxia type 2
1006001328	ARC syndrome
1006001336	pheochromocytoma
1006001344	hydrolethalus syndrome
1006001352	juvenile polyposis syndrome
1006001360	cone dystrophy
1006001368	glioblastoma classical subtype
1006001376	spondyloepimetaphyseal dysplasia, Pakistani type
1006001384	atrioventricular block
1006001392	artery disease
1006001400	focal dystonia
1006001408	spasmodic dystonia
1006001416	limb ischemia
1006001424	colorectal adenoma
1006001432	hepatocellular adenoma
1006001440	pancreatic agenesis
1006001448	IMAGe syndrome
1006001456	gallbladder adenoma
1006001464	corpus callosum oligodendroglioma
1006001472	MALT lymphoma
1006001480	lung combined type small cell adenocarcinoma
1006001488	small intestine carcinoid neuroendocrine tumor
1006001496	ovarian serous carcinoma
1006001504	spastic ataxia 2
1006001512	autosomal recessive hypophosphatemic rickets
1006001520	spinocerebellar ataxia type 4
1006001528	spinocerebellar ataxia type 15
1006001536	spinocerebellar ataxia type 23
1006001544	spinocerebellar ataxia type 34
1006001552	episodic ataxia type 1
1006001560	cerebellar ataxia, mental retardation and dysequlibrium syndrome
1006001576	CD45 deficiency
1006001584	CD40 ligand deficiency
1006001592	autoimmune disease of eyes, ear, nose and throat
1006001600	autoimmune disease of skin and connective tissue
1006001608	writing disorder
1006001616	popliteal pterygium syndrome
1006001632	lymphatic system cancer
1006001640	triple-receptor negative breast cancer
1006001648	endocrine organ benign neoplasm
1006001656	osteoblastoma
1006001664	brain glioma
1006001672	peritoneal benign neoplasm
1006001680	alpha chain disease
1006001688	apperceptive agnosia
1006001696	form agnosia
1006001704	astereognosia
1006001712	acquired metabolic disease
1006001720	bipolar ll disorder
1006001728	GABA aminotransferase deficiency
1006001736	microscopic colitis
1006001744	ileocolitis
1006001752	amyotrophic lateral sclerosis type 6
1006001760	amyotrophic lateral sclerosis type 15
1006001768	FTDALS2
1006001776	Scheie syndrome
1006001784	basal ganglia calcification
1006001792	Van Maldergem syndrome
1006001800	MASA syndrome
1006001808	Robinow syndrome
1006001816	gallbladder disease
1006001824	pontocerebellar hypoplasia type 2D
1006001832	pontocerebellar hypoplasia type 9
1006001840	combined oxidative phosphorylation deficiency
1006001848	cold-induced sweating syndrome
1006001856	type II complement component 8 deficiency
1006001864	uvulitis
